tipo_objeto,material,estado,uso_deseado,presupuesto,cantidad,transformacion,ciudad,preferencia,producto_recomendado
mueble,cuero,danado,compartir,105359,1,leve,Cali,fisico,Recuerdo Compartido
joya_pequena,mixto,danado,restaurar,81982,5,moderada,Cali,fisico,Caja del Tiempo
otro_objeto,metal,danado,compartir,33514,1,total,Cali,fisico,Restauración Especial
joya_pequena,madera,bueno,compartir,106479,4,leve,Barranquilla,fisico,Recuerdo Compartido
prenda_textil,cuero,muy_danado,restaurar,155457,2,leve,Cali,fisico,Almohada Abrazo
reloj_instrumento,cuero,bueno,compartir,41314,5,total,Bucaramanga,fisico,Recuerdo Compartido
reloj_instrumento,tela,danado,recordar_digitalmente,125233,2,ninguna,Bogota,fisico,Restauración Especial
mueble,madera,bueno,recordar_digitalmente,83501,5,total,Cali,digital,Memorial Digital
reloj_instrumento,papel,bueno,conservar,92853,1,leve,Barranquilla,fisico,Restauración Especial
otro_objeto,madera,danado,conservar,58148,1,moderada,Barranquilla,digital,Memorial Digital
prenda_textil,papel,regular,transformar,83294,1,total,Medellin,fisico,Almohada Abrazo
mueble,mixto,bueno,compartir,140501,2,total,Cali,fisico,Recuerdo Compartido
peluche,papel,bueno,transformar,115392,2,leve,Medellin,fisico,Peluche Memoria
fotografia,peluche_sintetico,muy_danado,compartir,155630,1,total,Medellin,fisico,Cuadro de Historia
reloj_instrumento,cuero,bueno,recordar_digitalmente,136209,3,total,Bucaramanga,fisico,Restauración Especial
peluche,metal,regular,transformar,110368,2,ninguna,Bucaramanga,fisico,Peluche Memoria
fotografia,peluche_sintetico,danado,restaurar,156037,1,moderada,Barranquilla,fisico,Cuadro de Historia
mueble,cuero,muy_danado,recordar_digitalmente,110364,1,moderada,Barranquilla,fisico,Restauración Especial
carta_documento,papel,regular,transformar,123979,1,moderada,Bogota,fisico,Libro de Memorias
fotografia,cuero,muy_danado,recordar_digitalmente,84620,1,total,Barranquilla,fisico,Cuadro de Historia
fotografia,madera,muy_danado,transformar,97329,1,moderada,Barranquilla,fisico,Restauración Especial
mueble,tela,muy_danado,restaurar,70590,1,total,Bucaramanga,fisico,Restauración Especial
otro_objeto,cuero,muy_danado,compartir,129635,2,total,Barranquilla,fisico,Recuerdo Compartido
peluche,metal,danado,conservar,53759,1,moderada,Medellin,fisico,Restauración Especial
otro_objeto,papel,bueno,transformar,122382,2,moderada,Bucaramanga,digital,Caja del Tiempo
peluche,mixto,regular,compartir,88327,1,leve,Cali,digital,Cuadro de Historia
peluche,mixto,danado,transformar,135993,3,ninguna,Barranquilla,digital,Memorial Digital
prenda_textil,metal,regular,recordar_digitalmente,121280,2,total,Medellin,fisico,Restauración Especial
joya_pequena,metal,bueno,recordar_digitalmente,158722,1,moderada,Bucaramanga,fisico,Caja del Tiempo
mueble,vidrio,danado,recordar_digitalmente,120577,1,ninguna,Medellin,digital,Memorial Digital
reloj_instrumento,tela,danado,restaurar,39978,2,leve,Medellin,fisico,Restauración Especial
mueble,metal,muy_danado,compartir,92656,1,moderada,Barranquilla,fisico,Restauración Especial
prenda_textil,papel,muy_danado,recordar_digitalmente,53979,2,moderada,Barranquilla,digital,Memorial Digital
mueble,tela,bueno,compartir,76860,2,moderada,Bogota,fisico,Recuerdo Compartido
reloj_instrumento,metal,muy_danado,restaurar,147892,1,moderada,Cali,fisico,Restauración Especial
fotografia,mixto,danado,conservar,117313,1,total,Bogota,fisico,Cuadro de Historia
fotografia,mixto,muy_danado,conservar,70537,5,total,Medellin,digital,Memorial Digital
fotografia,vidrio,regular,transformar,59519,1,moderada,Cali,fisico,Cuadro de Historia
fotografia,tela,muy_danado,transformar,96147,2,leve,Barranquilla,fisico,Restauración Especial
prenda_textil,tela,regular,compartir,52420,1,leve,Bucaramanga,fisico,Almohada Abrazo
peluche,tela,danado,conservar,71510,5,total,Medellin,fisico,Caja del Tiempo
joya_pequena,cuero,bueno,conservar,105920,1,moderada,Cali,fisico,Caja del Tiempo
fotografia,madera,bueno,recordar_digitalmente,135435,2,leve,Barranquilla,fisico,Cuadro de Historia
joya_pequena,madera,muy_danado,recordar_digitalmente,116306,2,leve,Bogota,digital,Memorial Digital
fotografia,papel,muy_danado,transformar,30000,5,moderada,Medellin,fisico,Cuadro de Historia
prenda_textil,metal,danado,conservar,105652,3,moderada,Medellin,fisico,Almohada Abrazo
joya_pequena,cuero,danado,conservar,97521,2,leve,Barranquilla,fisico,Caja del Tiempo
joya_pequena,mixto,bueno,recordar_digitalmente,109486,3,ninguna,Cali,digital,Memorial Digital
fotografia,cuero,muy_danado,transformar,151567,1,leve,Barranquilla,digital,Memorial Digital
prenda_textil,tela,bueno,conservar,30000,1,ninguna,Bogota,digital,Memorial Digital
reloj_instrumento,vidrio,muy_danado,compartir,74311,2,ninguna,Bucaramanga,fisico,Recuerdo Compartido
fotografia,vidrio,bueno,transformar,115681,1,leve,Medellin,fisico,Cuadro de Historia
reloj_instrumento,papel,danado,compartir,39644,2,leve,Bogota,fisico,Recuerdo Compartido
reloj_instrumento,papel,muy_danado,recordar_digitalmente,146658,2,moderada,Medellin,fisico,Restauración Especial
fotografia,tela,regular,compartir,107892,4,moderada,Medellin,fisico,Cuadro de Historia
carta_documento,papel,bueno,transformar,124630,3,moderada,Bucaramanga,fisico,Restauración Especial
prenda_textil,mixto,muy_danado,recordar_digitalmente,75016,1,total,Bucaramanga,fisico,Almohada Abrazo
fotografia,vidrio,bueno,recordar_digitalmente,123481,2,ninguna,Medellin,fisico,Cuadro de Historia
peluche,tela,bueno,restaurar,132396,1,moderada,Barranquilla,digital,Memorial Digital
fotografia,tela,muy_danado,restaurar,103150,1,total,Cali,fisico,Cuadro de Historia
prenda_textil,peluche_sintetico,bueno,recordar_digitalmente,103204,2,ninguna,Medellin,fisico,Almohada Abrazo
peluche,cuero,bueno,compartir,104462,3,moderada,Cali,fisico,Peluche Memoria
otro_objeto,tela,danado,restaurar,64782,1,moderada,Bucaramanga,fisico,Restauración Especial
mueble,mixto,regular,recordar_digitalmente,89836,2,leve,Medellin,fisico,Restauración Especial
reloj_instrumento,tela,regular,recordar_digitalmente,89661,1,ninguna,Cali,fisico,Restauración Especial
reloj_instrumento,vidrio,bueno,restaurar,108418,1,leve,Barranquilla,fisico,Almohada Abrazo
peluche,madera,danado,conservar,129993,1,leve,Bucaramanga,fisico,Restauración Especial
mueble,mixto,bueno,recordar_digitalmente,57951,1,leve,Barranquilla,fisico,Restauración Especial
peluche,cuero,regular,restaurar,90624,1,moderada,Barranquilla,fisico,Peluche Memoria
mueble,peluche_sintetico,muy_danado,transformar,146850,1,leve,Medellin,fisico,Restauración Especial
prenda_textil,madera,bueno,restaurar,68974,1,moderada,Barranquilla,fisico,Libro de Memorias
mueble,metal,muy_danado,transformar,66221,1,ninguna,Bogota,fisico,Restauración Especial
carta_documento,tela,regular,transformar,102080,1,leve,Cali,fisico,Libro de Memorias
peluche,vidrio,danado,restaurar,124553,1,total,Barranquilla,fisico,Restauración Especial
joya_pequena,papel,muy_danado,conservar,95399,3,leve,Bogota,fisico,Caja del Tiempo
joya_pequena,madera,regular,compartir,141513,1,ninguna,Bucaramanga,fisico,Caja del Tiempo
prenda_textil,tela,bueno,restaurar,124987,4,total,Medellin,fisico,Almohada Abrazo
mueble,papel,bueno,compartir,124463,1,total,Barranquilla,fisico,Caja del Tiempo
reloj_instrumento,cuero,regular,transformar,114394,1,leve,Cali,fisico,Peluche Memoria
fotografia,tela,regular,transformar,176467,1,total,Bogota,fisico,Cuadro de Historia
reloj_instrumento,madera,muy_danado,restaurar,87819,2,leve,Bucaramanga,fisico,Restauración Especial
reloj_instrumento,peluche_sintetico,muy_danado,recordar_digitalmente,30000,2,moderada,Bucaramanga,fisico,Restauración Especial
reloj_instrumento,vidrio,regular,conservar,151148,1,leve,Bogota,digital,Memorial Digital
carta_documento,tela,muy_danado,recordar_digitalmente,78980,1,leve,Medellin,fisico,Libro de Memorias
joya_pequena,vidrio,bueno,restaurar,98775,2,total,Cali,digital,Memorial Digital
fotografia,madera,regular,recordar_digitalmente,140834,1,moderada,Bucaramanga,fisico,Cuadro de Historia
mueble,madera,regular,compartir,38920,1,leve,Barranquilla,fisico,Restauración Especial
peluche,metal,regular,conservar,51192,1,ninguna,Cali,digital,Memorial Digital
joya_pequena,madera,danado,restaurar,38955,4,moderada,Bogota,fisico,Caja del Tiempo
fotografia,papel,danado,conservar,67205,1,total,Bucaramanga,fisico,Cuadro de Historia
carta_documento,peluche_sintetico,regular,restaurar,110387,2,total,Barranquilla,fisico,Libro de Memorias
fotografia,peluche_sintetico,regular,recordar_digitalmente,113346,3,total,Cali,fisico,Cuadro de Historia
carta_documento,madera,regular,conservar,104669,4,total,Bucaramanga,fisico,Libro de Memorias
mueble,metal,bueno,compartir,45553,1,ninguna,Medellin,fisico,Restauración Especial
mueble,madera,bueno,transformar,30000,1,moderada,Medellin,fisico,Restauración Especial
prenda_textil,peluche_sintetico,danado,conservar,96902,2,ninguna,Barranquilla,fisico,Almohada Abrazo
reloj_instrumento,madera,muy_danado,compartir,78487,3,moderada,Bucaramanga,fisico,Recuerdo Compartido
otro_objeto,metal,regular,compartir,111078,1,ninguna,Cali,fisico,Almohada Abrazo
carta_documento,papel,bueno,transformar,119568,1,total,Medellin,fisico,Libro de Memorias
prenda_textil,peluche_sintetico,muy_danado,conservar,99838,1,leve,Bucaramanga,digital,Memorial Digital
fotografia,tela,bueno,transformar,121604,1,leve,Barranquilla,fisico,Libro de Memorias
carta_documento,vidrio,danado,restaurar,103022,1,total,Bucaramanga,fisico,Libro de Memorias
otro_objeto,madera,bueno,transformar,113552,1,ninguna,Cali,digital,Cuadro de Historia
otro_objeto,metal,bueno,conservar,70336,1,moderada,Bogota,fisico,Restauración Especial
prenda_textil,vidrio,muy_danado,compartir,88713,1,moderada,Bogota,fisico,Almohada Abrazo
reloj_instrumento,madera,danado,compartir,101887,1,total,Bogota,fisico,Restauración Especial
otro_objeto,vidrio,regular,transformar,123718,2,leve,Bogota,fisico,Restauración Especial
mueble,cuero,regular,recordar_digitalmente,81219,1,total,Bucaramanga,fisico,Restauración Especial
otro_objeto,metal,muy_danado,transformar,113240,1,ninguna,Bucaramanga,fisico,Restauración Especial
fotografia,papel,muy_danado,restaurar,85695,4,leve,Medellin,digital,Memorial Digital
fotografia,tela,muy_danado,conservar,90886,5,total,Medellin,digital,Memorial Digital
fotografia,vidrio,danado,conservar,124033,1,total,Bucaramanga,fisico,Cuadro de Historia
carta_documento,mixto,bueno,recordar_digitalmente,30000,2,total,Bogota,fisico,Libro de Memorias
fotografia,papel,bueno,recordar_digitalmente,49623,2,moderada,Bucaramanga,digital,Memorial Digital
reloj_instrumento,vidrio,muy_danado,compartir,43123,2,total,Bogota,fisico,Recuerdo Compartido
reloj_instrumento,madera,muy_danado,conservar,30000,1,moderada,Medellin,fisico,Restauración Especial
otro_objeto,vidrio,danado,conservar,71260,1,moderada,Cali,fisico,Restauración Especial
otro_objeto,papel,regular,restaurar,121230,1,total,Cali,fisico,Restauración Especial
reloj_instrumento,papel,regular,compartir,85029,1,total,Barranquilla,fisico,Restauración Especial
mueble,tela,regular,conservar,101922,1,total,Medellin,fisico,Restauración Especial
peluche,madera,regular,restaurar,133122,3,leve,Bogota,fisico,Peluche Memoria
mueble,metal,danado,transformar,141469,3,total,Bogota,fisico,Restauración Especial
joya_pequena,peluche_sintetico,muy_danado,recordar_digitalmente,92580,1,total,Bucaramanga,fisico,Caja del Tiempo
mueble,madera,danado,conservar,142375,1,total,Bogota,fisico,Restauración Especial
joya_pequena,metal,regular,restaurar,98224,1,total,Bucaramanga,fisico,Caja del Tiempo
peluche,mixto,regular,restaurar,65691,2,ninguna,Medellin,fisico,Peluche Memoria
carta_documento,vidrio,muy_danado,compartir,74195,3,total,Cali,fisico,Libro de Memorias
carta_documento,cuero,bueno,conservar,43181,1,moderada,Bucaramanga,fisico,Libro de Memorias
carta_documento,vidrio,bueno,compartir,63915,1,moderada,Cali,digital,Memorial Digital
carta_documento,vidrio,regular,restaurar,82469,1,leve,Bogota,digital,Memorial Digital
reloj_instrumento,peluche_sintetico,regular,conservar,123125,2,moderada,Cali,digital,Memorial Digital
reloj_instrumento,cuero,bueno,recordar_digitalmente,155226,2,leve,Cali,fisico,Restauración Especial
joya_pequena,mixto,danado,recordar_digitalmente,46623,1,leve,Bucaramanga,fisico,Caja del Tiempo
prenda_textil,mixto,regular,transformar,108748,2,leve,Cali,fisico,Almohada Abrazo
joya_pequena,peluche_sintetico,regular,transformar,58580,1,moderada,Cali,fisico,Cuadro de Historia
carta_documento,mixto,bueno,compartir,111614,1,ninguna,Barranquilla,digital,Memorial Digital
prenda_textil,cuero,danado,compartir,90411,1,leve,Medellin,digital,Memorial Digital
mueble,cuero,muy_danado,restaurar,30918,1,leve,Bogota,fisico,Restauración Especial
fotografia,peluche_sintetico,bueno,conservar,127490,1,leve,Medellin,fisico,Cuadro de Historia
fotografia,mixto,bueno,restaurar,73824,2,total,Barranquilla,fisico,Cuadro de Historia
otro_objeto,cuero,bueno,conservar,76313,1,moderada,Bogota,digital,Peluche Memoria
joya_pequena,tela,bueno,restaurar,57558,1,moderada,Cali,fisico,Caja del Tiempo
reloj_instrumento,vidrio,regular,conservar,72100,3,moderada,Cali,fisico,Caja del Tiempo
mueble,cuero,regular,transformar,109976,5,total,Cali,fisico,Restauración Especial
fotografia,cuero,bueno,restaurar,88376,1,leve,Medellin,fisico,Memorial Digital
fotografia,papel,danado,conservar,106503,1,moderada,Bucaramanga,fisico,Cuadro de Historia
peluche,papel,bueno,conservar,107667,2,total,Barranquilla,fisico,Peluche Memoria
carta_documento,mixto,regular,restaurar,141223,2,ninguna,Cali,fisico,Libro de Memorias
prenda_textil,vidrio,regular,compartir,83002,3,ninguna,Bucaramanga,fisico,Almohada Abrazo
prenda_textil,vidrio,bueno,conservar,43309,1,leve,Cali,digital,Memorial Digital
joya_pequena,peluche_sintetico,muy_danado,transformar,132352,1,total,Medellin,fisico,Caja del Tiempo
otro_objeto,peluche_sintetico,regular,conservar,83397,1,ninguna,Bogota,digital,Memorial Digital
otro_objeto,madera,bueno,recordar_digitalmente,134010,1,ninguna,Cali,fisico,Restauración Especial
otro_objeto,vidrio,danado,compartir,108418,1,leve,Bogota,digital,Memorial Digital
mueble,peluche_sintetico,muy_danado,conservar,90410,1,ninguna,Bogota,digital,Memorial Digital
fotografia,peluche_sintetico,danado,compartir,107207,4,moderada,Bogota,fisico,Cuadro de Historia
mueble,madera,bueno,compartir,163285,1,total,Cali,digital,Memorial Digital
otro_objeto,cuero,regular,conservar,167694,1,ninguna,Medellin,fisico,Restauración Especial
otro_objeto,mixto,regular,recordar_digitalmente,97428,1,moderada,Bucaramanga,fisico,Restauración Especial
fotografia,mixto,muy_danado,conservar,100606,3,total,Bogota,fisico,Cuadro de Historia
mueble,tela,regular,transformar,132668,1,ninguna,Barranquilla,fisico,Restauración Especial
joya_pequena,mixto,danado,compartir,65401,1,ninguna,Bogota,fisico,Caja del Tiempo
fotografia,mixto,muy_danado,restaurar,106657,1,total,Cali,fisico,Cuadro de Historia
carta_documento,tela,regular,recordar_digitalmente,94094,2,total,Medellin,fisico,Libro de Memorias
otro_objeto,mixto,bueno,compartir,105986,1,ninguna,Barranquilla,fisico,Restauración Especial
peluche,papel,muy_danado,compartir,65832,1,ninguna,Bogota,fisico,Restauración Especial
carta_documento,metal,muy_danado,transformar,39365,1,ninguna,Medellin,digital,Memorial Digital
mueble,mixto,danado,compartir,30000,1,leve,Bogota,fisico,Restauración Especial
carta_documento,peluche_sintetico,bueno,conservar,55891,3,total,Medellin,digital,Memorial Digital
reloj_instrumento,papel,danado,recordar_digitalmente,78946,1,ninguna,Barranquilla,fisico,Restauración Especial
joya_pequena,peluche_sintetico,bueno,compartir,84738,1,ninguna,Barranquilla,fisico,Caja del Tiempo
fotografia,mixto,bueno,recordar_digitalmente,162803,2,total,Bucaramanga,fisico,Cuadro de Historia
fotografia,madera,regular,conservar,133709,1,moderada,Bucaramanga,digital,Recuerdo Compartido
reloj_instrumento,metal,danado,compartir,61326,5,moderada,Barranquilla,digital,Memorial Digital
fotografia,cuero,danado,recordar_digitalmente,107169,3,leve,Medellin,fisico,Cuadro de Historia
carta_documento,peluche_sintetico,regular,restaurar,80752,1,moderada,Bogota,fisico,Libro de Memorias
otro_objeto,cuero,danado,compartir,85047,3,ninguna,Bogota,fisico,Recuerdo Compartido
peluche,tela,regular,transformar,101486,2,leve,Cali,fisico,Peluche Memoria
fotografia,tela,danado,restaurar,116670,2,ninguna,Cali,digital,Restauración Especial
prenda_textil,metal,muy_danado,restaurar,83125,1,moderada,Bogota,digital,Memorial Digital
reloj_instrumento,cuero,danado,recordar_digitalmente,132234,1,moderada,Medellin,fisico,Restauración Especial
otro_objeto,metal,danado,recordar_digitalmente,55032,1,leve,Medellin,fisico,Restauración Especial
fotografia,papel,regular,restaurar,95221,2,ninguna,Barranquilla,fisico,Cuadro de Historia
carta_documento,vidrio,regular,restaurar,185918,2,moderada,Bogota,fisico,Libro de Memorias
fotografia,tela,regular,transformar,102807,2,moderada,Barranquilla,fisico,Cuadro de Historia
mueble,papel,danado,recordar_digitalmente,145162,1,leve,Bucaramanga,fisico,Restauración Especial
fotografia,cuero,muy_danado,conservar,98203,1,leve,Cali,fisico,Cuadro de Historia
carta_documento,metal,muy_danado,recordar_digitalmente,115327,3,ninguna,Bogota,fisico,Libro de Memorias
otro_objeto,metal,regular,conservar,93012,2,moderada,Barranquilla,digital,Memorial Digital
prenda_textil,cuero,danado,recordar_digitalmente,89035,2,ninguna,Bucaramanga,digital,Memorial Digital
mueble,mixto,muy_danado,conservar,67718,1,leve,Cali,fisico,Restauración Especial
prenda_textil,madera,bueno,conservar,110060,1,leve,Barranquilla,digital,Memorial Digital
joya_pequena,cuero,bueno,restaurar,65196,1,moderada,Bogota,fisico,Caja del Tiempo
peluche,madera,danado,recordar_digitalmente,118295,1,leve,Cali,fisico,Restauración Especial
otro_objeto,cuero,muy_danado,transformar,132985,1,ninguna,Bucaramanga,fisico,Restauración Especial
prenda_textil,tela,bueno,transformar,107828,4,ninguna,Cali,fisico,Almohada Abrazo
carta_documento,papel,danado,compartir,84981,1,ninguna,Barranquilla,fisico,Libro de Memorias
joya_pequena,madera,muy_danado,recordar_digitalmente,110888,1,leve,Cali,fisico,Caja del Tiempo
mueble,tela,regular,conservar,84196,1,total,Bucaramanga,fisico,Restauración Especial
prenda_textil,vidrio,regular,transformar,127744,1,leve,Medellin,fisico,Almohada Abrazo
carta_documento,metal,bueno,restaurar,30900,2,ninguna,Bucaramanga,fisico,Libro de Memorias
prenda_textil,vidrio,bueno,transformar,83253,1,total,Cali,fisico,Almohada Abrazo
joya_pequena,papel,danado,recordar_digitalmente,30000,1,leve,Cali,fisico,Caja del Tiempo
mueble,vidrio,regular,recordar_digitalmente,42672,2,moderada,Barranquilla,fisico,Restauración Especial
mueble,metal,regular,compartir,142735,1,moderada,Medellin,fisico,Restauración Especial
mueble,mixto,muy_danado,compartir,126331,1,moderada,Barranquilla,fisico,Restauración Especial
fotografia,papel,danado,restaurar,69818,3,leve,Cali,fisico,Cuadro de Historia
prenda_textil,papel,bueno,recordar_digitalmente,42412,2,total,Bucaramanga,fisico,Almohada Abrazo
peluche,vidrio,muy_danado,restaurar,30000,1,leve,Bucaramanga,fisico,Restauración Especial
carta_documento,madera,muy_danado,recordar_digitalmente,75977,1,total,Cali,fisico,Libro de Memorias
joya_pequena,madera,regular,compartir,179714,1,leve,Barranquilla,digital,Memorial Digital
peluche,metal,muy_danado,restaurar,110220,1,moderada,Medellin,fisico,Restauración Especial
joya_pequena,peluche_sintetico,muy_danado,compartir,75414,4,ninguna,Bogota,digital,Memorial Digital
mueble,papel,danado,transformar,111277,2,leve,Barranquilla,fisico,Cuadro de Historia
mueble,papel,danado,compartir,40366,5,leve,Bucaramanga,fisico,Recuerdo Compartido
mueble,mixto,muy_danado,recordar_digitalmente,84593,1,leve,Barranquilla,fisico,Restauración Especial
prenda_textil,vidrio,regular,restaurar,98481,1,moderada,Bucaramanga,fisico,Almohada Abrazo
prenda_textil,metal,muy_danado,transformar,91986,2,total,Barranquilla,fisico,Almohada Abrazo
fotografia,cuero,bueno,restaurar,122678,1,leve,Medellin,fisico,Cuadro de Historia
peluche,madera,bueno,restaurar,107062,1,leve,Bucaramanga,digital,Cuadro de Historia
peluche,vidrio,bueno,restaurar,118391,1,total,Barranquilla,fisico,Peluche Memoria
reloj_instrumento,madera,regular,recordar_digitalmente,70906,2,moderada,Medellin,fisico,Restauración Especial
mueble,mixto,bueno,restaurar,126423,1,leve,Bogota,fisico,Restauración Especial
reloj_instrumento,madera,bueno,restaurar,152012,1,ninguna,Bucaramanga,fisico,Restauración Especial
prenda_textil,papel,muy_danado,restaurar,61044,4,ninguna,Barranquilla,fisico,Almohada Abrazo
mueble,tela,muy_danado,restaurar,63930,4,total,Barranquilla,fisico,Restauración Especial
prenda_textil,cuero,regular,transformar,141752,1,leve,Bogota,fisico,Almohada Abrazo
reloj_instrumento,vidrio,regular,conservar,88302,2,ninguna,Bucaramanga,fisico,Caja del Tiempo
peluche,cuero,regular,transformar,144133,1,ninguna,Medellin,fisico,Peluche Memoria
carta_documento,vidrio,muy_danado,recordar_digitalmente,79511,1,moderada,Barranquilla,fisico,Libro de Memorias
reloj_instrumento,mixto,regular,transformar,145926,2,total,Cali,digital,Memorial Digital
mueble,cuero,regular,conservar,99602,2,total,Medellin,fisico,Caja del Tiempo
reloj_instrumento,peluche_sintetico,bueno,restaurar,104038,1,ninguna,Bogota,digital,Memorial Digital
otro_objeto,cuero,bueno,conservar,149765,1,moderada,Bogota,fisico,Restauración Especial
reloj_instrumento,cuero,danado,recordar_digitalmente,82338,1,leve,Barranquilla,fisico,Restauración Especial
joya_pequena,vidrio,regular,conservar,62060,2,leve,Bucaramanga,fisico,Caja del Tiempo
peluche,peluche_sintetico,regular,conservar,79300,5,ninguna,Cali,fisico,Peluche Memoria
mueble,cuero,muy_danado,recordar_digitalmente,110831,1,ninguna,Bogota,digital,Memorial Digital
carta_documento,peluche_sintetico,danado,transformar,40198,1,leve,Barranquilla,digital,Memorial Digital
peluche,vidrio,regular,compartir,117311,1,ninguna,Bucaramanga,fisico,Peluche Memoria
prenda_textil,vidrio,danado,compartir,76143,5,total,Medellin,fisico,Almohada Abrazo
otro_objeto,mixto,bueno,compartir,135173,1,ninguna,Barranquilla,fisico,Restauración Especial
joya_pequena,metal,danado,compartir,30000,4,ninguna,Cali,fisico,Peluche Memoria
prenda_textil,cuero,danado,conservar,67470,2,leve,Barranquilla,fisico,Almohada Abrazo
joya_pequena,vidrio,regular,restaurar,35973,1,leve,Medellin,fisico,Caja del Tiempo
carta_documento,metal,regular,restaurar,66081,3,moderada,Medellin,fisico,Almohada Abrazo
prenda_textil,papel,muy_danado,recordar_digitalmente,103668,1,ninguna,Barranquilla,fisico,Almohada Abrazo
mueble,mixto,danado,compartir,88727,1,moderada,Barranquilla,fisico,Restauración Especial
fotografia,tela,muy_danado,compartir,86131,4,ninguna,Bucaramanga,fisico,Cuadro de Historia
fotografia,mixto,bueno,recordar_digitalmente,89428,1,ninguna,Bogota,fisico,Cuadro de Historia
reloj_instrumento,papel,danado,transformar,102118,2,moderada,Medellin,fisico,Restauración Especial
joya_pequena,vidrio,muy_danado,recordar_digitalmente,59701,1,leve,Barranquilla,fisico,Caja del Tiempo
reloj_instrumento,peluche_sintetico,danado,compartir,119739,1,leve,Bucaramanga,fisico,Restauración Especial
joya_pequena,papel,danado,restaurar,118193,2,total,Medellin,fisico,Caja del Tiempo
fotografia,mixto,bueno,restaurar,108476,1,leve,Bucaramanga,fisico,Cuadro de Historia
mueble,mixto,danado,transformar,114478,2,ninguna,Barranquilla,fisico,Memorial Digital
fotografia,tela,regular,transformar,105374,1,ninguna,Barranquilla,fisico,Cuadro de Historia
carta_documento,peluche_sintetico,danado,recordar_digitalmente,166227,2,moderada,Cali,fisico,Libro de Memorias
prenda_textil,peluche_sintetico,regular,recordar_digitalmente,91951,2,leve,Cali,fisico,Recuerdo Compartido
otro_objeto,mixto,bueno,compartir,84252,2,total,Medellin,digital,Memorial Digital
mueble,cuero,muy_danado,conservar,68626,1,moderada,Medellin,fisico,Restauración Especial
carta_documento,vidrio,muy_danado,transformar,58870,3,moderada,Bucaramanga,fisico,Libro de Memorias
otro_objeto,cuero,regular,restaurar,51443,3,leve,Medellin,fisico,Restauración Especial
prenda_textil,metal,regular,compartir,63892,1,ninguna,Barranquilla,fisico,Almohada Abrazo
peluche,cuero,bueno,conservar,92526,1,leve,Bogota,fisico,Peluche Memoria
reloj_instrumento,vidrio,regular,restaurar,106700,2,total,Medellin,fisico,Restauración Especial
fotografia,tela,bueno,transformar,96789,3,moderada,Barranquilla,fisico,Cuadro de Historia
carta_documento,mixto,regular,recordar_digitalmente,68206,1,total,Bucaramanga,fisico,Caja del Tiempo
carta_documento,peluche_sintetico,muy_danado,recordar_digitalmente,126506,1,ninguna,Barranquilla,fisico,Libro de Memorias
reloj_instrumento,vidrio,regular,transformar,120879,1,leve,Cali,fisico,Restauración Especial
peluche,mixto,muy_danado,transformar,89412,1,total,Cali,fisico,Restauración Especial
peluche,peluche_sintetico,regular,compartir,72147,3,total,Barranquilla,fisico,Peluche Memoria
reloj_instrumento,cuero,regular,transformar,114194,1,leve,Bucaramanga,fisico,Restauración Especial
carta_documento,vidrio,danado,compartir,101579,1,ninguna,Medellin,fisico,Libro de Memorias
prenda_textil,mixto,muy_danado,transformar,44315,2,total,Medellin,fisico,Almohada Abrazo
fotografia,tela,bueno,restaurar,92620,5,moderada,Cali,fisico,Cuadro de Historia
otro_objeto,tela,regular,conservar,104171,1,total,Medellin,fisico,Restauración Especial
carta_documento,mixto,danado,compartir,63510,2,ninguna,Cali,fisico,Libro de Memorias
fotografia,tela,danado,compartir,101644,1,total,Medellin,fisico,Cuadro de Historia
carta_documento,cuero,bueno,conservar,44081,5,leve,Barranquilla,fisico,Libro de Memorias
otro_objeto,metal,bueno,restaurar,141766,1,ninguna,Bucaramanga,fisico,Restauración Especial
joya_pequena,mixto,muy_danado,transformar,138678,4,leve,Bogota,fisico,Caja del Tiempo
prenda_textil,vidrio,muy_danado,transformar,86161,1,ninguna,Medellin,digital,Memorial Digital
joya_pequena,cuero,danado,conservar,107720,1,moderada,Bucaramanga,fisico,Caja del Tiempo
joya_pequena,tela,bueno,recordar_digitalmente,30000,2,total,Bucaramanga,fisico,Caja del Tiempo
prenda_textil,metal,regular,compartir,54527,1,moderada,Bogota,fisico,Caja del Tiempo
fotografia,papel,regular,compartir,84717,1,moderada,Barranquilla,fisico,Cuadro de Historia
peluche,cuero,danado,restaurar,57475,1,ninguna,Barranquilla,fisico,Restauración Especial
carta_documento,mixto,regular,recordar_digitalmente,120003,1,moderada,Cali,fisico,Libro de Memorias
carta_documento,madera,bueno,recordar_digitalmente,164905,1,moderada,Cali,fisico,Libro de Memorias
otro_objeto,tela,muy_danado,restaurar,53818,3,moderada,Bucaramanga,fisico,Restauración Especial
prenda_textil,cuero,regular,recordar_digitalmente,65688,2,leve,Bucaramanga,fisico,Almohada Abrazo
reloj_instrumento,peluche_sintetico,bueno,conservar,103240,1,ninguna,Bogota,digital,Memorial Digital
fotografia,madera,bueno,restaurar,151389,1,leve,Bogota,fisico,Cuadro de Historia
reloj_instrumento,mixto,danado,conservar,52216,1,ninguna,Bogota,digital,Memorial Digital
joya_pequena,mixto,bueno,compartir,103716,3,ninguna,Cali,fisico,Recuerdo Compartido
reloj_instrumento,peluche_sintetico,bueno,recordar_digitalmente,158745,1,ninguna,Bogota,digital,Memorial Digital
